Species,Processor,Duration_sec,Output_size_MB,Num_models
Medicago truncatula,103,216.12,3.09,25712
Medicago truncatula,104,226.08,3.09,25712
Medicago truncatula,105,218.79,3.09,25712
Medicago truncatula,106,210.52,3.09,25712
Medicago truncatula,107,234.86,3.09,25712
Medicago truncatula,108,219.44,3.09,25712
Medicago truncatula,109,219.69,3.09,25712
Medicago truncatula,110,223.65,3.09,25712
Medicago truncatula,111,221.88,3.09,25712
Medicago truncatula,112,219.97,3.09,25712
Medicago truncatula,113,217.18,3.09,25712
Medicago truncatula,114,228.23,3.09,25712
Medicago truncatula,115,225.42,3.09,25712
Medicago truncatula,116,221.84,3.09,25712
Medicago truncatula,117,239.39,3.09,25712
Medicago truncatula,118,232.11,3.09,25712
Medicago truncatula,119,227.26,3.09,25712
Medicago truncatula,120,230.78,3.09,25712
Medicago truncatula,121,227.49,3.09,25712
Medicago truncatula,122,235.45,3.09,25712
Medicago truncatula,123,235.07,3.09,25712
Medicago truncatula,124,235.19,3.09,25712
Medicago truncatula,125,250.57,3.09,25712
Medicago truncatula,126,248.57,3.09,25712
Medicago truncatula,127,251.32,3.09,25712
Medicago truncatula,128,250.56,3.09,25712
Homo sapiens,1,9578.75,2.16,15445
Homo sapiens,2,4578.52,2.16,15445
Homo sapiens,3,3659.42,2.16,15445
Homo sapiens,4,2614.48,2.16,15445
Homo sapiens,5,2079.47,2.16,15445
Homo sapiens,6,1766.4,2.16,15445
Homo sapiens,7,1692.89,2.16,15445
Homo sapiens,8,1754.22,2.16,15445
Homo sapiens,9,1517.72,2.16,15445
Homo sapiens,10,1292.64,2.16,15445
Homo sapiens,11,1196.96,2.16,15445
Homo sapiens,12,1221.28,2.16,15445
Homo sapiens,13,1089.24,2.16,15445
Homo sapiens,14,1107.81,2.16,15445
Homo sapiens,15,1091.54,2.16,15445
Homo sapiens,16,1016.41,2.16,15445
Homo sapiens,17,1014,2.16,15445
Homo sapiens,18,902.02,2.16,15445
Homo sapiens,19,1053.59,2.16,15445
Homo sapiens,20,927.66,2.16,15445
Homo sapiens,21,915.76,2.16,15445
Homo sapiens,22,848.96,2.16,15445
Homo sapiens,23,1000.17,2.16,15445
Homo sapiens,24,868.39,2.16,15445
Homo sapiens,25,849.98,2.16,15445
Homo sapiens,26,881.45,2.16,15445
Homo sapiens,27,847.37,2.16,15445
Homo sapiens,28,968.61,2.16,15445
Homo sapiens,29,884.29,2.16,15445
Homo sapiens,30,873.93,2.16,15445
Homo sapiens,31,809.78,2.16,15445
Homo sapiens,32,813.86,2.16,15445
Homo sapiens,33,789.31,2.16,15445
Homo sapiens,34,791.8,2.16,15445
Homo sapiens,35,836.34,2.16,15445
Homo sapiens,36,935.53,2.16,15445
Homo sapiens,37,835.2,2.16,15445
Homo sapiens,38,793.9,2.16,15445
Homo sapiens,39,856.87,2.16,15445
Homo sapiens,40,762.54,2.16,15445
Homo sapiens,41,807.9,2.16,15445
Homo sapiens,42,838.4,2.16,15445
Homo sapiens,43,876.77,2.16,15445
Homo sapiens,44,810.24,2.16,15445
Homo sapiens,45,815.76,2.16,15445
Homo sapiens,46,858.45,2.16,15445
Homo sapiens,47,863.15,2.16,15445
Homo sapiens,48,855.98,2.16,15445
Homo sapiens,49,847.97,2.16,15445
Homo sapiens,50,899.4,2.16,15445
Homo sapiens,51,859.16,2.16,15445
Homo sapiens,52,848.74,2.16,15445
Homo sapiens,53,847.69,2.16,15445
Homo sapiens,54,890.34,2.16,15445
Homo sapiens,55,811.31,2.16,15445
Homo sapiens,56,907.94,2.16,15445
Homo sapiens,57,1000.17,2.16,15445
Homo sapiens,58,940.48,2.16,15445
Homo sapiens,59,920.2,2.16,15445
Homo sapiens,60,914.23,2.16,15445
Homo sapiens,61,1026.84,2.16,15445
Homo sapiens,62,959.44,2.16,15445
Homo sapiens,63,911.79,2.16,15445
Homo sapiens,64,878.53,2.16,15445
Homo sapiens,65,997.9,2.16,15445
Homo sapiens,66,968.99,2.16,15445
Homo sapiens,67,985.58,2.16,15445
Homo sapiens,68,1058.21,2.16,15445
Homo sapiens,69,983.24,2.16,15445
Homo sapiens,70,954.26,2.16,15445
Homo sapiens,71,948.5,2.16,15445
Homo sapiens,72,1097.65,2.16,15445
Homo sapiens,73,1108.96,2.16,15445
Homo sapiens,74,1085.78,2.16,15445
Homo sapiens,75,1147.64,2.16,15445
Homo sapiens,76,1134.49,2.16,15445
Homo sapiens,77,1177.73,2.16,15445
Homo sapiens,78,1167.41,2.16,15445
Homo sapiens,79,1170.12,2.16,15445
Homo sapiens,80,1186.57,2.16,15445
Homo sapiens,81,1107.2,2.16,15445
Homo sapiens,82,1192.43,2.16,15445
Homo sapiens,83,1325.9,2.16,15445
Homo sapiens,84,1191.69,2.16,15445
Homo sapiens,85,1220.49,2.16,15445
Homo sapiens,86,1284.65,2.16,15445
Homo sapiens,87,1327.26,2.16,15445
Homo sapiens,88,1286.75,2.16,15445
Homo sapiens,89,1345.43,2.16,15445
Homo sapiens,90,1289.58,2.16,15445
Homo sapiens,91,1453.12,2.16,15445
Homo sapiens,92,1626.39,2.16,15445
Homo sapiens,93,1478.07,2.16,15445
Homo sapiens,94,1450.59,2.16,15445
Homo sapiens,95,1364.12,2.16,15445
Homo sapiens,96,1485.33,2.16,15445
Homo sapiens,97,1612.44,2.16,15445
Homo sapiens,98,1515.42,2.16,15445
Homo sapiens,99,1458.45,2.16,15445
Homo sapiens,100,1551.93,2.16,15445
Homo sapiens,101,1497.76,2.16,15445
Homo sapiens,102,1437.17,2.16,15445
Homo sapiens,103,1534.78,2.16,15445
Homo sapiens,104,1478.07,2.16,15445
Homo sapiens,105,1500.04,2.16,15445
Homo sapiens,106,1460.38,2.16,15445
Homo sapiens,107,1587,2.16,15445
Homo sapiens,108,1579.05,2.16,15445
Homo sapiens,109,1582.81,2.16,15445
Homo sapiens,110,1630.28,2.16,15445
Homo sapiens,111,1703.16,2.16,15445
Homo sapiens,112,1624.97,2.16,15445
Homo sapiens,113,1566.93,2.16,15445
Homo sapiens,114,1781.31,2.16,15445
Homo sapiens,115,1634.26,2.16,15445
Homo sapiens,116,1660.73,2.16,15445
Homo sapiens,117,1687.94,2.16,15445
Homo sapiens,118,1552.81,2.16,15445
Homo sapiens,119,1913.88,2.16,15445
Homo sapiens,120,1882.73,2.16,15445
Homo sapiens,121,1882.2,2.16,15445
Homo sapiens,122,1999.86,2.16,15445
Homo sapiens,123,1912.72,2.16,15445
Homo sapiens,124,1999.74,2.16,15445
Homo sapiens,125,2096.22,2.16,15445
Homo sapiens,126,2158.3,2.16,15445
Homo sapiens,127,2199.41,2.16,15445
Homo sapiens,128,2191.48,2.16,15445

